Date,Time,CO(GT),PT08.S1(CO),C6H6(GT),PT08.S2(NMHC),NOx(GT),PT08.S3(NOx),NO2(GT),PT08.S4(NO2),PT08.S5(O3),T,RH,AH
14/05/2004,05.00.00,1.2,983.0,6.5,833.0,116.0,894.0,102.0,1524.0,1012.0,16.0,58.3,1.0481
14/05/2004,06.00.00,1.5,1033.0,8.4,917.0,118.0,882.0,95.0,1617.0,905.0,17.2,52.3,1.0169
14/05/2004,07.00.00,3.7,1388.0,22.8,1372.0,272.0,601.0,140.0,2105.0,1449.0,18.5,49.4,1.0397
14/05/2004,08.00.00,3.7,1512.0,29.1,1530.0,272.0,527.0,140.0,2326.0,1725.0,20.0,45.6,1.0524
14/05/2004,09.00.00,3.3,1148.0,13.6,1104.0,258.0,723.0,138.0,1713.0,1301.0,21.0,37.9,0.9313
14/05/2004,10.00.00,2.5,1095.0,11.1,1019.0,186.0,815.0,113.0,1618.0,1181.0,22.8,32.4,0.887
14/05/2004,11.00.00,1.9,987.0,10.0,979.0,130.0,923.0,101.0,1515.0,962.0,25.5,25.6,0.8218
14/05/2004,12.00.00,2.0,984.0,10.5,998.0,134.0,905.0,97.0,1523.0,862.0,25.9,23.6,0.7771
14/05/2004,13.00.00,2.5,1072.0,13.0,1084.0,148.0,843.0,114.0,1622.0,1017.0,27.7,20.8,0.7599
14/05/2004,14.00.00,2.1,1048.0,12.5,1068.0,147.0,869.0,110.0,1573.0,993.0,27.1,21.6,0.7618
14/05/2004,15.00.00,2.1,1042.0,11.4,1029.0,123.0,907.0,103.0,1540.0,879.0,28.4,20.2,0.7697
14/05/2004,16.00.00,2.3,1113.0,13.1,1086.0,138.0,882.0,119.0,1584.0,926.0,28.1,21.9,0.8184
14/05/2004,17.00.00,3.0,1146.0,14.9,1145.0,162.0,836.0,126.0,1647.0,1011.0,27.6,22.3,0.8116
14/05/2004,18.00.00,4.1,1239.0,19.1,1272.0,214.0,748.0,144.0,1790.0,1380.0,25.2,24.3,0.7671
14/05/2004,19.00.00,4.5,1302.0,21.8,1346.0,230.0,706.0,164.0,1880.0,1698.0,24.6,25.1,0.7636
14/05/2004,20.00.00,3.5,1181.0,16.1,1183.0,191.0,792.0,148.0,1711.0,1432.0,23.1,27.2,0.7575
14/05/2004,21.00.00,2.1,1068.0,11.6,1037.0,128.0,869.0,119.0,1567.0,1217.0,22.0,28.6,0.7483
14/05/2004,22.00.00,2.3,1135.0,12.4,1065.0,138.0,803.0,111.0,1630.0,1317.0,20.8,34.5,0.8365
14/05/2004,23.00.00,1.9,1121.0,10.4,992.0,126.0,844.0,115.0,1505.0,1255.0,20.4,35.3,0.8352
15/05/2004,00.00.00,1.9,1131.0,9.7,965.0,107.0,843.0,103.0,1520.0,1223.0,19.1,38.3,0.8381
15/05/2004,01.00.00,1.2,947.0,5.7,798.0,67.0,964.0,81.0,1395.0,930.0,18.0,40.5,0.8271
15/05/2004,02.00.00,1.0,935.0,5.4,786.0,55.0,964.0,71.0,1389.0,954.0,17.4,43.4,0.8553
15/05/2004,03.00.00,1.1,941.0,5.6,792.0,55.0,975.0,71.0,1397.0,889.0,14.8,50.6,0.8489
15/05/2004,04.00.00,1.1,867.0,4.4,734.0,48.0,1043.0,58.0,1324.0,808.0,14.6,51.4,0.8489
